"EFF_DATE","STAR_COMPUTER_CODE","ARTCC","ROUTE_PORTION_TYPE","ROUTE_NAME","BODY_SEQ","TRANSITION_COMPUTER_CODE","POINT_SEQ","POINT","ICAO_REGION_CODE","POINT_TYPE","NEXT_POINT","ARPT_RWY_ASSOC"
"2026/01/22","VIICE.VIICE2","ZMA","TRANSITION","PTOON TRANSITION",1,"PTOON.VIICE2",30,"CLYER","K","WP   ","PTOON",""
"2026/01/22","VIICE.VIICE2","ZMA","TRANSITION","PTOON TRANSITION",1,"PTOON.VIICE2",40,"PTOON","K","WP   ","",""
"2026/01/22","VIICE.VIICE2","ZMA","TRANSITION","ZEGEE TRANSITION",1,"ZEGEE.VIICE2",10,"VIICE","K","WP   ","KROKT",""
"2026/01/22","VIICE.VIICE2","ZMA","TRANSITION","ZEGEE TRANSITION",1,"ZEGEE.VIICE2",20,"KROKT","K","WP   ","ZEGEE",""
"2026/01/22","VIICE.VIICE2","ZMA","TRANSITION","ZEGEE TRANSITION",1,"ZEGEE.VIICE2",30,"ZEGEE","K","WP   ","",""
"2026/01/22","VIICE.VIICE2","ZMA","TRANSITION","ZEUSS TRANSITION",1,"ZEUSS.VIICE2",10,"VIICE","K","WP   ","KROKT",""
"2026/01/22","VIICE.VIICE2","ZMA","TRANSITION","ZEUSS TRANSITION",1,"ZEUSS.VIICE2",20,"KROKT","K","WP   ","ZEGEE",""
"2026/01/22","VIICE.VIICE2","ZMA","TRANSITION","ZEUSS TRANSITION",1,"ZEUSS.VIICE2",30,"ZEGEE","K","WP   ","MULYN",""
"2026/01/22","VIICE.VIICE2","ZMA","TRANSITION","ZEUSS TRANSITION",1,"ZEUSS.VIICE2",40,"MULYN","K","WP   ","ZEUSS",""
"2026/01/22","VIICE.VIICE2","ZMA","TRANSITION","ZEUSS TRANSITION",1,"ZEUSS.VIICE2",50,"ZEUSS","K","RP   ","",""
"2026/01/22","VINTA.VINTA3","ZKC","BODY","VINTA-BICEP",1,"",10,"BICEP","K4","RP   ","VINTA","RVS, TUL/18L, TUL/18R, TUL/36L, TUL/36R"
"2026/01/22","VINTA.VINTA3","ZKC","BODY","VINTA-BICEP",1,"",20,"VINTA","K4","RP   ","","RVS, TUL/18L, TUL/18R, TUL/36L, TUL/36R"
"2026/01/22","VINTA.VINTA3","ZKC","TRANSITION","SPRINGFIELD TRANSITION",1,"SGF.VINTA3",10,"VINTA","K4","RP   ","ORIXY",""
"2026/01/22","VINTA.VINTA3","ZKC","TRANSITION","SPRINGFIELD TRANSITION",1,"SGF.VINTA3",20,"ORIXY","K4","CN   ","SGF",""
"2026/01/22","VINTA.VINTA3","ZKC","TRANSITION","SPRINGFIELD TRANSITION",1,"SGF.VINTA3",30,"SGF","","VORTAC","",""
"2026/01/22","VISTA.VISTA3","ZLA","BODY","VISTA-SLI",1,"",10,"SLI","","VORTAC","TOZEK","LAX"
"2026/01/22","VISTA.VISTA3","ZLA","BODY","VISTA-SLI",1,"",20,"TOZEK","K2","RP   ","MADOW","LAX"
"2026/01/22","VISTA.VISTA3","ZLA","BODY","VISTA-SLI",1,"",30,"MADOW","K2","RP   ","BAYER","LAX"
"2026/01/22","VISTA.VISTA3","ZLA","BODY","VISTA-SLI",1,"",40,"BAYER","K2","RP   ","CWARD","LAX"
"2026/01/22","VISTA.VISTA3","ZLA","BODY","VISTA-SLI",1,"",50,"CWARD","K2","RP   ","SHIVE","LAX"
"2026/01/22","VISTA.VISTA3","ZLA","BODY","VISTA-SLI",1,"",60,"SHIVE","K2","RP   ","OCN","LAX"
"2026/01/22","VISTA.VISTA3","ZLA","BODY","VISTA-SLI",1,"",70,"OCN","","VORTAC","CYNDE","LAX"
"2026/01/22","VISTA.VISTA3","ZLA","BODY","VISTA-SLI",1,"",80,"CYNDE","K2","RP   ","VISTA","LAX"
"2026/01/22","VISTA.VISTA3","ZLA","BODY","VISTA-SLI",1,"",90,"VISTA","K2","RP   ","","LAX"
"2026/01/22","VISTA.VISTA3","ZLA","TRANSITION","JULIAN TRANSITION",1,"JLI.VISTA3",10,"VISTA","K2","RP   ","JLI",""
"2026/01/22","VISTA.VISTA3","ZLA","TRANSITION","JULIAN TRANSITION",1,"JLI.VISTA3",20,"JLI","","VORTAC","",""
"2026/01/22","VKTRY.JOVEM6","ZFW","BODY","VKTRY-FUEWL",1,"",10,"FUEWL","K4","WP   ","KBOOM","DFW"
"2026/01/22","VKTRY.JOVEM6","ZFW","BODY","VKTRY-FUEWL",1,"",20,"KBOOM","K4","WP   ","SILER","DFW"
"2026/01/22","VKTRY.JOVEM6","ZFW","BODY","VKTRY-FUEWL",1,"",30,"SILER","K4","RP   ","MSSLE","DFW"
"2026/01/22","VKTRY.JOVEM6","ZFW","BODY","VKTRY-FUEWL",1,"",40,"MSSLE","K4","WP   ","JOVEM","DFW"
"2026/01/22","VKTRY.JOVEM6","ZFW","BODY","VKTRY-FUEWL",1,"",50,"JOVEM","K4","RP   ","VKTRY","DFW"
"2026/01/22","VKTRY.JOVEM6","ZFW","BODY","VKTRY-FUEWL",1,"",60,"VKTRY","K4","RP   ","","DFW"
"2026/01/22","VKTRY.JOVEM6","ZFW","TRANSITION","BELFR TRANSITION",1,"BELFR.JOVEM6",10,"VKTRY","K4","RP   ","ZUBOV",""
"2026/01/22","VKTRY.JOVEM6","ZFW","TRANSITION","BELFR TRANSITION",1,"BELFR.JOVEM6",20,"ZUBOV","K4","WP   ","LETNN",""
"2026/01/22","VKTRY.JOVEM6","ZFW","TRANSITION","BELFR TRANSITION",1,"BELFR.JOVEM6",30,"LETNN","K4","WP   ","BELFR",""
"2026/01/22","VKTRY.JOVEM6","ZFW","TRANSITION","BELFR TRANSITION",1,"BELFR.JOVEM6",40,"BELFR","K4","WP   ","",""
"2026/01/22","VKTRY.JOVEM6","ZFW","TRANSITION","FAWNT TRANSITION",1,"FAWNT.JOVEM6",10,"VKTRY","K4","RP   ","CRUTH",""
"2026/01/22","VKTRY.JOVEM6","ZFW","TRANSITION","FAWNT TRANSITION",1,"FAWNT.JOVEM6",20,"CRUTH","K4","WP   ","RBUKL",""
