"EFF_DATE","ROUTE_TYPE_CODE","ROUTE_ID","ARTCC","WIDTH_SEQ_NO","WIDTH_TEXT"
"2026/01/22","IR","077","ZME ZTL",10,"10 NM EITHER SIDE OF CENTERLINE FROM E TO K."
"2026/01/22","IR","078","ZME ZTL",1,"10 NM EITHER SIDE OF CENTERLINE FROM A TO G;"
"2026/01/22","IR","078","ZME ZTL",5,"4 NM EITHER SIDE OF CENTERLINE FROM G TO K."
"2026/01/22","IR","079","ZID ZTL",5,"10 NM EITHER SIDE OF CENTERLINE."
"2026/01/22","IR","080","ZDC ZID ZTL",5,"10 NM EITHER SIDE OF CENTERLINE."
"2026/01/22","IR","081","ZDC ZTL",5,"10 NM EITHER SIDE OF CENTERLINE."
"2026/01/22","IR","082","ZTL",5,"10 NM EITHER SIDE OF CENTERLINE."
"2026/01/22","IR","083","ZDC ZTL",5,"10 NM EITHER SIDE OF  CENTERLINE."
"2026/01/22","IR","090","",1,"5 NM EITHER SIDE OF CENTERLINE FROM A TO C;"
"2026/01/22","IR","090","",2,"3 NM EITHER SIDE OF CENTERLINE FROM C TO G."
"2026/01/22","IR","091","ZME",5,"3 NM EITHER SIDE OF CENTERLINE."
"2026/01/22","IR","103","ZFW",5,"10 NM EITHER SIDE OF COURSE FROM A TO D; 2"
"2026/01/22","IR","103","ZFW",10,"NM EITHER SIDE OF COURSE FROM D TO F."
"2026/01/22","IR","105","ZFW",5,"10 NM EITHER SIDE OF CENTERLINE FROM A TO"
"2026/01/22","IR","105","ZFW",10,"D; 3 NM EITHER SIDE OF CENTERLINE FROM D TO I."
"2026/01/22","IR","107","ZAB",5,"7.5 NM EITHER SIDE OF CENTERLINE FOR ENTIRE ROUTE"
"2026/01/22","IR","107","ZAB",10,"TO INCLUDE EXITS AND ALTERNATE ENTRIES."
"2026/01/22","IR","109","ZAB ZDV",5,"5 NM EITHER SIDE OF CENTERLINE FROM A TO E;"
"2026/01/22","IR","109","ZAB ZDV",10,"3 NM LEFT AND 1 NM RIGHT OF CENTERLINE FROM E TO AO; 5 NM LEFT"
"2026/01/22","IR","109","ZAB ZDV",15,"AND 3 NM RIGHT OF CENTERLINE FROM AO TO AP; 5 NM EITHER SIDE OF"
"2026/01/22","IR","109","ZAB ZDV",20,"CENTERLINE FROM AP TO END OF ROUTE; 5 NM EITHER SIDE OF CENTERLINE"
"2026/01/22","IR","109","ZAB ZDV",25,"FOR ALTERNATE ENTRY I AND EXITS J, P, AND AE; 4 NM EITHER SIDE OF"
"2026/01/22","IR","109","ZAB ZDV",30,"CENTERLINE FOR ALTERNATE ENTRY M. ALTERNATE EXIT AO; 3 NM LEFT"
"2026/01/22","IR","109","ZAB ZDV",35,"AND 1 NM RIGHT OF CENTERLINE FROM F TO AO; 4 NM EITHER SIDE OF"
"2026/01/22","IR","109","ZAB ZDV",40,"CENTERLINE FROM AO TO AR. 5 NM EACH"
"2026/01/22","IR","109","ZAB ZDV",45,"SIDE OF CENTERLINE FOR ALTERNATE ENTRY D1"
"2026/01/22","IR","111","ZAB",5,"4 NM EITHER SIDE OF CENTERLINE FROM A TO K;"
"2026/01/22","IR","111","ZAB",10,"6 NM EITHER SIDE CENTERLINE FROM K TO S;"
"2026/01/22","IR","111","ZAB",20,"4 NM EITHER SIDE OF CENTERLINE ON ALL ALTERNATE"
"2026/01/22","IR","111","ZAB",21,"ENTRY/EXITS."
"2026/01/22","IR","112","ZAB ZDV",5,"5 NM EITHER SIDE OF CENTERLINE FROM A TO D;"
"2026/01/22","IR","112","ZAB ZDV",10,"5 NM LEFT AND 4 NM RIGHT OF CENTERLINE FROM D TO E; 5 NM EITHER"
"2026/01/22","IR","112","ZAB ZDV",15,"SIDE OF CENTERLINE FROM E TO TN; 5 NM EITHER SIDE OF CENTERLINE"
"2026/01/22","IR","112","ZAB ZDV",20,"FOR ALTERNATE EXIT I; 5 NM EITHER SIDE OF CENTERLINE FROM"
"2026/01/22","IR","112","ZAB ZDV",25,"TN AND XM."
"2026/01/22","IR","113","ZAB",5,"5 NM EITHER SIDE OF CENTERLINE FROM A TO C;"
