"EFF_DATE","SITE_NO","SITE_TYPE_CODE","STATE_CODE","ARPT_ID","CITY","COUNTRY_CODE","SKED_SEQ_NO","MONTH","DAY","HOUR"
"2026/02/19","00305.01","H","AL","43AL","FLAT ROCK","US",1,"ALL","ALL","ALL"
"2026/02/19","00306.","A","AL","0AL5","FLOMATON","US",1,"UNATNDD","",""
"2026/02/19","00308.1","H","AL","7AL8","FLORALA","US",1,"UNATTENDED","",""
"2026/02/19","00308.5","A","AL","0J4","FLORALA","US",1,"ALL","ALL","0800-2400"
"2026/02/19","00310.","C","AL","AL46","FLORENCE","US",1,"UNATNDD","",""
"2026/02/19","00310.1","A","AL","0AL9","FLORENCE","US",1,"UNATNDD","",""
"2026/02/19","00323.","A","AL","0AL1","FOLEY","US",1,"UNATNDD","",""
"2026/02/19","00323.23","A","AL","02AL","FOLEY","US",1,"UNATNDD","",""
"2026/02/19","00323.24","H","AL","3AL4","FOLEY","US",1,"ALL","ALL","ALL"
"2026/02/19","00323.3","A","AL","5R4","FOLEY","US",1,"ALL","ALL","0800-1700"
"2026/02/19","00323.4","A","AL","NBJ","FOLEY","US",3,"ALL","SAT-SUN","CLSD"
"2026/02/19","00323.4","A","AL","NBJ","FOLEY","US",4,"ALL","HOLS","CLSD"
"2026/02/19","00323.4","A","AL","NBJ","FOLEY","US",5,"ALL","MON-FRI","1400-2345Z++"
"2026/02/19","00326.","A","AL","67A","FORT DEPOSIT","US",1,"UNATNDD","",""
"2026/02/19","00328.","A","AL","2AL5","FORT PAYNE","US",1,"UNATNDD","",""
"2026/02/19","00328.1","A","AL","4A9","FORT PAYNE","US",1,"ALL","ALL","0700-1700"
"2026/02/19","00328.11","H","AL","0AL4","FORT PAYNE","US",1,"UNATNDD","",""
"2026/02/19","00329.","A","AL","OZR","FORT RUCKER","US",1,"ALL","ALL","ALL"
"2026/02/19","00329.01","H","AL","HEY","FORT RUCKER","US",1,"ALL","MON-FRI","0600-0030"
"2026/02/19","00329.01","H","AL","HEY","FORT RUCKER","US",2,"EXCP HOL","",""
"2026/02/19","00329.03","H","AL","LOR","FORT RUCKER","US",1,"ALL","MON-FRI","0700-0100"
"2026/02/19","00329.03","H","AL","LOR","FORT RUCKER","US",2,"EXCP HOL","",""
"2026/02/19","00329.06","H","AL","FHK","FORT RUCKER","US",1,"ALL","MON-FRI","1230-1800"
"2026/02/19","00329.07","H","AL","SXS","FORT RUCKER","US",1,"UNATNDD","",""
"2026/02/19","00329.08","H","AL","24AL","FORT NOVOSEL (DOTHAN)","US",1,"ATTENDED DURG SKED TRNG","",""
"2026/02/19","00329.09","H","AL","25AL","FORT NOVOSEL (GOODMAN)","US",1,"ATTENDED DURG SKED TRNG","",""
"2026/02/19","00329.1","H","AL","05AL","FORT NOVOSEL (WICKSBURG)","US",1,"ATTENDED DURG SKED TRNG.","",""
"2026/02/19","00329.11","H","AL","06AL","FORT NOVOSEL (NEW BROCKTON)","US",1,"ATTENDED DURG SKED TRNG.","",""
"2026/02/19","00329.12","H","AL","11AL","FORT NOVOSEL (OZARK)","US",1,"ATTENDED DURG SKED TRNG.","",""
"2026/02/19","00329.13","H","AL","12AL","FORT NOVOSEL (KIRKLANDS CROSSROADS)","US",1,"ATTENDED DURG SKED TRNG","",""
