"EFF_DATE","SITE_NO","SITE_TYPE_CODE","FACILITY_TYPE","STATE_CODE","FACILITY_ID","CITY","COUNTRY_CODE","ICAO_ID","FACILITY_NAME","REGION_CODE","TWR_OPERATOR_CODE","TWR_CALL","TWR_HRS","PRIMARY_APCH_RADIO_CALL","APCH_P_PROVIDER","APCH_P_PROV_TYPE_CD","SECONDARY_APCH_RADIO_CALL","APCH_S_PROVIDER","APCH_S_PROV_TYPE_CD","PRIMARY_DEP_RADIO_CALL","DEP_P_PROVIDER","DEP_P_PROV_TYPE_CD","SECONDARY_DEP_RADIO_CALL","DEP_S_PROVIDER","DEP_S_PROV_TYPE_CD","CTL_FAC_APCH_DEP_CALLS","APCH_DEP_OPER_CODE","CTL_PRVDING_HRS","SECONDARY_CTL_PRVDING_HRS"
"2026/02/19","12597.","A","NON-ATCT","NE","AIA","ALLIANCE","US","KAIA","ALLIANCE MUNI","ACE","","","","DENVER ARTCC","ZDV","C","","","","DENVER ARTCC","ZDV","C","","","","","","",""
"2026/02/19","02696.","A","NON-ATCT","CO","AIB","NUCLA","US","KAIB","HOPKINS FLD","ANM","","","","DENVER ARTCC","ZDV","C","","","","DENVER ARTCC","ZDV","C","","","","","","",""
"2026/02/19","05090.1","A","ATCT","IN","AID","ANDERSON","US","KAID","ANDERSON RGNL","AGL","CITY","ANDERSON","0830-1630 MON-SAT","INDIANAPOLIS","IND","A","","","","INDIANAPOLIS","IND","A","","","","","","",""
"2026/02/19","27010.","A","NON-ATCT","WI","AIG","ANTIGO","US","KAIG","LANGLADE COUNTY","AGL","","","","MINNEAPOLIS ARTCC","ZMP","C","","","","MINNEAPOLIS ARTCC","ZMP","C","","","","","","",""
"2026/02/19","22097.","A","NON-ATCT","SC","AIK","AIKEN","US","KAIK","AIKEN RGNL","ASO","","","","AUGUSTA","AGS","A","COLUMBIA","CAE","A","AUGUSTA","AGS","A","COLUMBIA","CAE","A","","","",""
"2026/02/19","05838.","A","NON-ATCT","IA","AIO","ATLANTIC","US","KAIO","ATLANTIC MUNI","ACE","","","","MINNEAPOLIS ARTCC","ZMP","C","","","","MINNEAPOLIS ARTCC","ZMP","C","","","","","","",""
"2026/02/19","10505.","A","NON-ATCT","MN","AIT","AITKIN","US","KAIT","AITKIN MUNI/STEVE KURTZ FLD","AGL","","","","MINNEAPOLIS ARTCC","ZMP","C","","","","MINNEAPOLIS ARTCC","ZMP","C","","","","","","",""
"2026/02/19","00119.","A","NON-ATCT","AL","AIV","ALICEVILLE","US","KAIV","GEORGE DOWNER","ASO","","","","COLUMBUS","CBM","A","MEMPHIS ARTCC","ZME","C","COLUMBUS","CBM","A","MEMPHIS ARTCC","ZME","C","","","",""
"2026/02/19","11814.6","A","NON-ATCT","MO","AIZ","KAISER/LAKE OZARK","US","KAIZ","LEE C FINE MEML","ACE","","","","MIZZU","SGF","A","","","","MIZZU","SGF","A","","","","","","",""
"2026/02/19","04886.","A","NON-ATCT","IL","AJG","MOUNT CARMEL","US","KAJG","MOUNT CARMEL MUNI","AGL","","","","EVANSVILLE","EVV","A","INDIANAPOLIS ARTCC","ZID","C","EVANSVILLE","EVV","A","INDIANAPOLIS ARTCC","ZID","C","","","",""
"2026/02/19","01447.3","A","NON-ATCT","CA","AJO","CORONA","US","KAJO","CORONA MUNI","AWP","","","","SOCAL","SCT","T","","","","SOCAL","SCT","T","","","","","","",""
"2026/02/19","03738.5","A","NON-ATCT","GA","AJR","CORNELIA","US","KAJR","HABERSHAM COUNTY","ASO","","","","ATLANTA ARTCC","ZTL","C","","","","ATLANTA ARTCC","ZTL","C","","","","","","",""
"2026/02/19","02564.1","A","NON-ATCT","CO","AJZ","DELTA","US","KAJZ","BLAKE FLD","ANM","","","","","","","","","","","","","","","","","","",""
"2026/02/19","50140.72","A","NON-ATCT","AK","AK15","NUIQSUT","US","PALP","ALPINE AIRSTRIP","AAL","","","","ANCHORAGE ARTCC","ZAN","C","","","","ANCHORAGE ARTCC","ZAN","C","","","","","","",""
"2026/02/19","50548.81","H","NON-ATCT","AK","AK32","NUIQSUT","US","PFNU","OOOGURUK ISLAND","AAL","","","","ANCHORAGE ARTCC","ZAN","C","","","","ANCHORAGE ARTCC","ZAN","C","","","","","","",""
"2026/02/19","50040.5","A","NON-ATCT","AK","AKA","ATKA","US","PAAK","ATKA","AAL","","","","ANCHORAGE ARTCC","ZAN","C","","","","ANCHORAGE ARTCC","ZAN","C","","","","","","",""
"2026/02/19","16739.","A","NON-ATCT","NC","AKH","GASTONIA","US","KAKH","GASTONIA MUNI","ASO","","","","CHARLOTTE","CLT","A","","","","CHARLOTTE","CLT","A","","","","","","",""
"2026/02/19","50020.","A","NON-ATCT","AK","AKI","AKIAK","US","PFAK","AKIAK","AAL","","","","ANCHORAGE ARTCC","ZAN","C","","","","ANCHORAGE ARTCC","ZAN","C","","","","","","",""
"2026/02/19","50016.1","A","NON-ATCT","AK","AKK","AKHIOK","US","PAKH","AKHIOK","AAL","","","","ANCHORAGE ARTCC","ZAN","C","","","","ANCHORAGE ARTCC","ZAN","C","","","","","","",""
"2026/02/19","50416.","A","ATCT","AK","AKN","KING SALMON","US","PAKN","KING SALMON","AAL","FCT","KING SALMON","0800-2000 1 AUG-14 JUN.  0800-2200 15 JUN- 31 JUL.","ANCHORAGE ARTCC","ZAN","C","","","","ANCHORAGE ARTCC","ZAN","C","","","","","","",""
"2026/02/19","02503.","A","NON-ATCT","CO","AKO","AKRON","US","KAKO","COLORADO PLAINS RGNL","ANM","","","","DENVER ARTCC","ZDV","C","","","","DENVER ARTCC","ZDV","C","","","","","","",""
"2026/02/19","50032.","A","NON-ATCT","AK","AKP","ANAKTUVUK PASS","US","PAKP","ANAKTUVUK PASS","AAL","","","","ANCHORAGE ARTCC","ZAN","C","","","","ANCHORAGE ARTCC","ZAN","C","","","","","","",""
"2026/02/19","26047.5","A","NON-ATCT","VA","AKQ","WAKEFIELD","US","KAKQ","WAKEFIELD MUNI","AEA","","","","NORFOLK","ORF","A","","","","NORFOLK","ORF","A","","","","","","",""
"2026/02/19","17524.","A","NON-ATCT","OH","AKR","AKRON","US","KAKR","AKRON FULTON INTL","AGL","","","","CLEVELAND","CLE","A","CLEVELAND ARTCC","ZOB","C","CLEVELAND","CLE","A","CLEVELAND ARTCC","ZOB","C","","","",""
"2026/02/19","50420.01","A","NON-ATCT","AK","AKW","KLAWOCK","US","PAKW","KLAWOCK","AAL","","","","ANCHORAGE ARTCC","ZAN","C","","","","ANCHORAGE ARTCC","ZAN","C","","","","","","",""
"2026/02/19","00155.32","H","NON-ATCT","AL","AL67","THEODORE","US","","W&T OFFSHORE OTF","ASO","","","","MOBILE","MOB","A","","","","MOBILE","MOB","A","","","","","","",""
"2026/02/19","14789.","A","ATCT-TRACON","NY","ALB","ALBANY","US","KALB","ALBANY INTL","AEA","F","ALBANY","24","ALBANY","ALB","A","","","","ALBANY","ALB","A","","","","ALBANY","F","24",""
"2026/02/19","23305.","A","NON-ATCT","TX","ALI","ALICE","US","KALI","ALICE INTL","ASW","","","","KINGSVILLE","NQI","A","HOUSTON ARTCC","ZHU","C","KINGSVILLE","NQI","A","HOUSTON ARTCC","ZHU","C","","","",""
"2026/02/19","14524.","A","NON-ATCT","NM","ALM","ALAMOGORDO","US","KALM","ALAMOGORDO-WHITE SANDS RGNL","ASW","","","","HOLLOMAN","HMN","A","ALBUQUERQUE ARTCC","ZAB","C","HOLLOMAN","HMN","A","ALBUQUERQUE ARTCC","ZAB","C","","","",""
"2026/02/19","04372.","A","ATCT","IL","ALN","ALTON/ST LOUIS","US","KALN","ST LOUIS RGNL","AGL","FCT","REGIONAL","0700-2200","SAINT LOUIS","T75","T","","","","SAINT LOUIS","T75","T","","","","","","",""
"2026/02/19","06402.","A","ATCT","IA","ALO","WATERLOO","US","KALO","WATERLOO RGNL","ACE","F","WATERLOO","0600-2000","DES MOINES","DSM","A","MINNEAPOLIS ARTCC","ZMP","C","DES MOINES","DSM","A","MINNEAPOLIS ARTCC","ZMP","C","","","",""
"2026/02/19","02510.","A","NON-ATCT","CO","ALS","ALAMOSA","US","KALS","SAN LUIS VALLEY RGNL/BERGMAN FLD","ANM","","","","DENVER ARTCC","ZDV","C","","","","DENVER ARTCC","ZDV","C","","","","","","",""
"2026/02/19","26450.","A","ATCT","WA","ALW","WALLA WALLA","US","KALW","WALLA WALLA RGNL","ANM","FCT","WALLA WALLA","0600-1830","SPOKANE","GEG","A","SEATTLE ARTCC","ZSE","C","SPOKANE","GEG","A","SEATTLE ARTCC","ZSE","C","","","",""
"2026/02/19","00116.","A","NON-ATCT","AL","ALX","ALEXANDER CITY","US","KALX","THOMAS C RUSSELL FLD","ASO","","","","MONTGOMERY","MGM","A","ATLANTA ARTCC","ZTL","C","MONTGOMERY","MGM","A","ATLANTA ARTCC","ZTL","C","","","",""
"2026/02/19","23328.","A","ATCT-TRACON","TX","AMA","AMARILLO","US","KAMA","RICK HUSBAND AMARILLO INTL","ASW","F","AMARILLO","0600-0000","AMARILLO","AMA","A","ALBUQUERQUE ARTCC","ZAB","C","AMARILLO","AMA","A","ALBUQUERQUE ARTCC","ZAB","C","AMARILLO","F","0600-0000","0000-0600"
"2026/02/19","03619.","A","NON-ATCT","GA","AMG","ALMA","US","KAMG","BACON COUNTY","ASO","","","","JACKSONVILLE ARTCC","ZJX","C","","","","JACKSONVILLE ARTCC","ZJX","C","","","","","","",""
"2026/02/19","09515.1","A","NON-ATCT","MI","AMN","ALMA","US","KAMN","GRATIOT COMMUNITY","AGL","","","","GREAT LAKES","AZO","A","CLEVELAND ARTCC","ZOB","C","GREAT LAKES","AZO","A","CLEVELAND ARTCC","ZOB","C","","","",""
"2026/02/19","18663.8","A","NON-ATCT","OH","AMT","WEST UNION","US","KAMT","ALEXANDER SALAMON","AGL","","","","INDIANAPOLIS ARTCC","ZID","C","","","","INDIANAPOLIS ARTCC","ZID","C","","","","","","",""
"2026/02/19","05829.","A","NON-ATCT","IA","AMW","AMES","US","KAMW","AMES MUNI","ACE","","","","DES MOINES","DSM","A","","","","DES MOINES","DSM","A","","","","","","",""
"2026/02/19","00128.","A","NON-ATCT","AL","ANB","ANNISTON","US","KANB","ANNISTON RGNL","ASO","","","","BIRMINGHAM","BHM","A","","","","BIRMINGHAM","BHM","A","","","","","","",""
"2026/02/19","50034.","A","ATCT","AK","ANC","ANCHORAGE","US","PANC","TED STEVENS ANCHORAGE INTL","AAL","F","ANCHORAGE","24","ANCHORAGE","A11","T","","","","ANCHORAGE","A11","T","","","","","","",""
"2026/02/19","22102.","A","NON-ATCT","SC","AND","ANDERSON","US","KAND","ANDERSON RGNL","ASO","","","","GREER","GSP","A","ATLANTA ARTCC","ZTL","C","GREER","GSP","A","ATLANTA ARTCC","ZTL","C","","","",""
"2026/02/19","10827.2","A","ATCT","MN","ANE","MINNEAPOLIS","US","KANE","ANOKA COUNTY/BLAINE (JANES FLD)","AGL","FCT","ANOKA","0700-2100 OCT-APR; 0700-2200 MAY-SEP","MINNEAPOLIS","M98","T","","","","MINNEAPOLIS","M98","T","","","","","","",""
"2026/02/19","50038.","A","NON-ATCT","AK","ANI","ANIAK","US","PANI","ANIAK","AAL","","","","ANCHORAGE ARTCC","ZAN","C","","","","ANCHORAGE ARTCC","ZAN","C","","","","","","",""
"2026/02/19","10328.","A","NON-ATCT","MI","ANJ","SAULT STE MARIE","US","KANJ","SAULT STE MARIE MUNI/SANDERSON FLD","AGL","","","","TORONTO ARTCC","APCH/P CALL IS TORONTO ARTCC","S","","","","TORONTO ARTCC","DEP/P CALL IS TORONTO ARTCC","S","","","","","","",""
"2026/02/19","02719.","A","NON-ATCT","CO","ANK","SALIDA","US","KANK","SALIDA/HARRIETT ALEXANDER FLD","ANM","","","","DENVER ARTCC","ZDV","C","","","","DENVER ARTCC","ZDV","C","","","","","","",""
"2026/02/19","08443.","A","NON-ATCT","MD","ANP","ANNAPOLIS","US","KANP","LEE","AEA","","","","POTOMAC","PCT","T","","","","POTOMAC","PCT","T","","","","","","",""
"2026/02/19","05092.","A","NON-ATCT","IN","ANQ","ANGOLA","US","KANQ","TRI-STATE STEUBEN COUNTY","AGL","","","","FORT WAYNE","FWA","A","","","","FORT WAYNE","FWA","A","","","","","","",""
