"EFF_DATE","HP_NAME","HP_NO","STATE_CODE","COUNTRY_CODE","FIX_ID","ICAO_REGION_CODE","NAV_ID","NAV_TYPE","HOLD_DIRECTION","HOLD_DEG_OR_CRS","AZIMUTH","COURSE_INBOUND_DEG","TURN_DIRECTION","LEG_LENGTH_DIST"
"2026/02/19","LAVAH INT*ID*K1",1,"ID","US","LAVAH","K1","LHO","VOR/DME","N","353","RAD",173,"L",
"2026/02/19","LAVAH WP*ID*K1",2,"ID","US","LAVAH","K1","","","N","356","RNAV",176,"L",12
"2026/02/19","LAVAN INT*NM*K2",1,"NM","US","LAVAN","K2","ABQ","VORTAC","SW","230","RAD",50,"R",
"2026/02/19","LAVDE WP*SD*K3",1,"SD","US","LAVDE","K3","","","S","167","RNAV",347,"R",4
"2026/02/19","LAVTE WP*NC*K7",1,"NC","US","LAVTE","K7","","","SE","141","RNAV",321,"R",6
"2026/02/19","LAWGR WP*CO*K2",1,"CO","US","LAWGR","K2","","","E","68","RNAV",248,"R",12
"2026/02/19","LAWNS INT*IN*K5",1,"IN","US","LAWNS","K5","FWA","VORTAC","S","202","RAD",22,"R",1
"2026/02/19","LAWRENCE COUNTY NDB*AR",1,"AR","US","","","TNZ","NDB","N","359","BRG",179,"L",
"2026/02/19","LAWRN INT*MA*K6",1,"MA","US","LAWRN","K6","GDM","VOR/DME","S","167","RAD",347,"L",
"2026/02/19","LAWRN INT*MA*K6",2,"MA","US","LAWRN","K6","GDM","VOR/DME","S","167","RAD",347,"L",
"2026/02/19","LAWTO WP*OH*K5",1,"OH","US","LAWTO","K5","","","NE","40","RNAV",220,"R",4
"2026/02/19","LAWTON VOR/DME*OK",1,"OK","US","","","LAW","VOR/DME","S","167","RAD",347,"L",
"2026/02/19","LAWTON VOR/DME*OK",2,"OK","US","","","LAW","VOR/DME","S","169","RAD",349,"L",
"2026/02/19","LAWTON VOR/DME*OK",3,"OK","US","","","LAW","VOR/DME","S","171","RAD",351,"L",
"2026/02/19","LAYEN WP*NM*K2",1,"NM","US","LAYEN","K2","","","S","187","RNAV",7,"L",6
"2026/02/19","LAYIB WP*NJ*K6",1,"NJ","US","LAYIB","K6","","","SE","146","RNAV",326,"R",4
"2026/02/19","LAYIP WP*KS*K3",1,"KS","US","LAYIP","K3","","","NW","323","RNAV",143,"L",4
"2026/02/19","LAYKZ INT*NM*K2",3,"NM","US","LAYKZ","K2","HMN","TACAN","N","2","RAD",182,"L",10
"2026/02/19","LAYLA WP*CO*K2",1,"CO","US","LAYLA","K2","","","SE","126","RNAV",306,"L",12
"2026/02/19","LAYMN WP*TX*K4",1,"TX","US","LAYMN","K4","","","W","287","RNAV",107,"L",10
"2026/02/19","LAYUH WP*GA*K7",1,"GA","US","LAYUH","K7","","","E","87","RNAV",267,"L",15
"2026/02/19","LAZEE WP*TX*K4",1,"TX","US","LAZEE","K4","","","S","175","RNAV",355,"R",5
"2026/02/19","LAZGO WP*CA*K2",1,"CA","US","LAZGO","K2","","","SE","146","RNAV",326,"L",4
"2026/02/19","LAZLO INT*UT*K2",1,"UT","US","LAZLO","K2","DTA","VORTAC","S","358","RAD",358,"R",10
"2026/02/19","LAZMU WP*TN*K7",1,"TN","US","LAZMU","K7","","","SW","217","RNAV",37,"R",5
"2026/02/19","LAZTY WP*PR*TJ",1,"PR","US","LAZTY","TJ","","","S","202","RNAV",22,"L",6
"2026/02/19","LAZYY WP*MN*K3",1,"MN","US","LAZYY","K3","","","S","184","RNAV",4,"R",10
"2026/02/19","LCHCB WP*OG*K",1,"OG","US","LCHCB","K","","","S","180","RNAV",360,"R",4
"2026/02/19","LCHCD WP*OG*K",1,"OG","US","LCHCD","K","","","S","180","RNAV",360,"R",4
"2026/02/19","LCHCE WP*OG*K",1,"OG","US","LCHCE","K","","","S","180","RNAV",360,"R",4
"2026/02/19","LCHCF WP*OG*K",1,"OG","US","LCHCF","K","","","S","180","RNAV",360,"R",4
"2026/02/19","LCHCG WP*OG*K",1,"OG","US","LCHCG","K","","","S","180","RNAV",360,"R",4
"2026/02/19","LCHCH WP*OG*K",1,"OG","US","LCHCH","K","","","S","180","RNAV",360,"R",4
"2026/02/19","LCHCI WP*OG*K",1,"OG","US","LCHCI","K","","","S","180","RNAV",360,"R",4
"2026/02/19","LCHCJ WP*OG*K",1,"OG","US","LCHCJ","K","","","S","180","RNAV",360,"R",4
"2026/02/19","LCHCK WP*OG*K",1,"OG","US","LCHCK","K","","","S","180","RNAV",360,"R",4
"2026/02/19","LCHCL WP*OG*K",1,"OG","US","LCHCL","K","","","S","180","RNAV",360,"R",4
"2026/02/19","LCHCM WP*OG*K",1,"OG","US","LCHCM","K","","","S","180","RNAV",360,"R",4
