"EFF_DATE","SITE_NO","SITE_TYPE_CODE","STATE_CODE","ARPT_ID","CITY","COUNTRY_CODE","RWY_END_ID","ILS_LOC_ID","SYSTEM_TYPE_CODE","STATE_NAME","REGION_CODE","RWY_LEN","RWY_WIDTH","CATEGORY","OWNER","OPERATOR","APCH_BEAR","MAG_VAR","MAG_VAR_HEMIS","COMPONENT_STATUS","COMPONENT_STATUS_DATE","LAT_DEG","LAT_MIN","LAT_SEC","LAT_HEMIS","LAT_DECIMAL","LONG_DEG","LONG_MIN","LONG_SEC","LONG_HEMIS","LONG_DECIMAL","LAT_LONG_SOURCE_CODE","SITE_ELEVATION","LOC_FREQ","BK_COURSE_STATUS_CODE"
"2026/02/19","00546.","A","AL","TOI","TROY","US","07","TOI","LD","ALABAMA","ASO",6197,100,"I","R-U.S. ARMY","R-U.S. ARMY",73.51,4,"W","OPERATIONAL RESTRICTED","2025/02/20",31,51,49.8695,"N",31.86385263,86,0,21.2534,"W",-86.00590372,"T",386.8,108.9,""
"2026/02/19","00554.","A","AL","TCL","TUSCALOOSA","US","04","TCL","LD","ALABAMA","ASO",6498,150,"I","F-FEDERAL AVIATION ADMIN.","F-FEDERAL AVIATION ADMIN.",41.01,0,"E","OPERATIONAL IFR","1972/04/11",33,13,32.604,"N",33.22572333,87,36,11.0071,"W",-87.60305752,"T",160.3,109.1,""
"2026/02/19","00642.9","A","AZ","CGZ","CASA GRANDE","US","05","CGZ","LS","ARIZONA","AWP",5200,100,"I","O-CITY OF CASA GRANDE","O-CITY OF CASA GRANDE",47.91,12,"E","OPERATIONAL IFR","1981/09/03",32,57,33.6104,"N",32.95933622,111,45,27.8313,"W",-111.75773091,"K",1462.9,111.15,"N"
"2026/02/19","00674.","A","AZ","FLG","FLAGSTAFF","US","21","FLG","LG","ARIZONA","AWP",8800,150,"I","F-FAA","F-FAA",214.17,10,"E","OPERATIONAL RESTRICTED","2018/02/06",35,8,23.3217,"N",35.13981158,111,40,16.089,"W",-111.67113583,"K",7000.7,110.5,""
"2026/02/19","00682.","A","AZ","FHU","FORT HUACHUCA SIERRA VISTA","US","26","FHU","LG","ARIZONA","AWP",12001,150,"I","R-US ARMY","R-US ARMY",259.91,10,"E","OPERATIONAL IFR","1992/08/20",31,35,15.2004,"N",31.58755566,110,22,16.4072,"W",-110.37122422,"T",4726.4,109.9,""
"2026/02/19","00692.25","A","AZ","LUF","GLENDALE","US","03R","LUF","LG","ARIZONA","AWP",9912,150,"I","A-U.S. AIR FORCE","A-U.S. AIR FORCE",32.55,10,"E","OPERATIONAL IFR","1975/10/09",33,33,0.868,"N",33.55024111,112,21,51.154,"W",-112.36420944,"A",1087.2,108.7,"U"
"2026/02/19","00692.25","A","AZ","LUF","GLENDALE","US","21L","EMJ","LG","ARIZONA","AWP",9912,150,"I","A-U.S AIR FORCE","A-U.S AIR FORCE",212.57,10,"E","OPERATIONAL IFR","2005/10/13",33,31,25.61,"N",33.52378055,112,23,35.62,"W",-112.39322777,"A",1071.8,110.9,"U"
"2026/02/19","00700.1","A","AZ","GCN","GRAND CANYON","US","03","GCN","LG","ARIZONA","AWP",8999,150,"I","F-FEDERAL AVIATION ADMIN","F-FEDERAL AVIATION ADMIN",29.65,11,"E","OPERATIONAL RESTRICTED","1983/11/24",35,57,49.7191,"N",35.96381086,112,8,5.5026,"W",-112.13486183,"Z",6609.3,108.9,"N"
"2026/02/19","00753.","A","AZ","IWA","PHOENIX","US","30C","IWA","LG","ARIZONA","AWP",10201,150,"I","F-FEDERAL AVIATION ADMINISTRATION","A-WILLIAMS REDEVELOPMENT CORP",302.58,13,"E","OPERATIONAL RESTRICTED","2018/02/06",33,19,13.059,"N",33.32029416,111,40,8.5995,"W",-111.66905541,"T",1343.7,110.15,""
"2026/02/19","00754.","A","AZ","PHX","PHOENIX","US","07L","PHX","LD","ARIZONA","AWP",10300,150,"I","F-FEDERAL AVIATION ADMIN.","F-FEDERAL AVIATION ADMIN.",78,12,"E","OPERATIONAL IFR","1972/05/30",33,25,51.7152,"N",33.431032,111,59,20.367,"W",-111.98899083,"T",1133.5,111.5,""
