"EFF_DATE","SITE_NO","SITE_TYPE_CODE","STATE_CODE","ARPT_ID","CITY","COUNTRY_CODE","RWY_END_ID","ILS_LOC_ID","SYSTEM_TYPE_CODE","COMPONENT_STATUS","COMPONENT_STATUS_DATE","LAT_DEG","LAT_MIN","LAT_SEC","LAT_HEMIS","LAT_DECIMAL","LONG_DEG","LONG_MIN","LONG_SEC","LONG_HEMIS","LONG_DECIMAL","LAT_LONG_SOURCE_CODE","SITE_ELEVATION","CHANNEL"
"2026/02/19","01591.","A","CA","FAT","FRESNO","US","29R","FAT","LD","OPERATIONAL IFR","1984/07/05",36,47,10.81,"N",36.78633611,119,43,56.63,"W",-119.73239722,"T",347.1,"50X"
"2026/02/19","01593.","A","CA","FUL","FULLERTON","US","24","FUL","LE","OPERATIONAL IFR","1982/08/01",33,52,16.286,"N",33.87119055,117,59,10.383,"W",-117.9862175,"G",99,"26X"
"2026/02/19","01651.","A","CA","HWD","HAYWARD","US","28L","HWD","LE","OPERATIONAL IFR","1980/01/24",37,39,46.5525,"N",37.66293125,122,7,47.3744,"W",-122.12982622,"T",41,"52X"
"2026/02/19","01772.","A","CA","LHM","LINCOLN","US","15","LHM","LD","OPERATIONAL IFR","1996/10/10",38,53,50.8686,"N",38.8974635,121,20,54.1447,"W",-121.34837352,"T",130.2,"24Y"
"2026/02/19","01779.2","A","CA","LVK","LIVERMORE","US","25R","LVK","LD","OPERATIONAL IFR","2017/10/16",37,41,35.52,"N",37.6932,121,49,53.54,"W",-121.83153888,"FS",363,"42X"
"2026/02/19","01818.","A","CA","LAX","LOS ANGELES","US","06L","UWU","LD","OPERATIONAL IFR","1901/01/01",33,56,50.7522,"N",33.94743116,118,26,26.6221,"W",-118.44072836,"T",139.3,"22X"
"2026/02/19","01818.","A","CA","LAX","LOS ANGELES","US","06R","GPE","LD","OPERATIONAL IFR","1901/01/01",33,56,49.9191,"N",33.94719975,118,26,22.7714,"W",-118.43965872,"T",134.3,"54X"
"2026/02/19","01818.","A","CA","LAX","LOS ANGELES","US","07L","IAS","LD","OPERATIONAL RESTRICTED","2020/04/08",33,56,4.8698,"N",33.93468605,118,25,24.8206,"W",-118.42356127,"T",104.3,"48X"
"2026/02/19","01818.","A","CA","LAX","LOS ANGELES","US","07R","MKZ","LD","OPERATIONAL IFR","1901/01/01",33,56,3.1899,"N",33.93421941,118,25,20.7882,"W",-118.42244116,"FS",126,"36X"
"2026/02/19","01818.","A","CA","LAX","LOS ANGELES","US","24L","HQB","LD","OPERATIONAL IFR","1901/01/01",33,56,49.9191,"N",33.94719975,118,26,22.7714,"W",-118.43965872,"T",134.3,"54X"
"2026/02/19","01818.","A","CA","LAX","LOS ANGELES","US","24R","OSS","LD","OPERATIONAL IFR","1901/01/01",33,56,50.7522,"N",33.94743116,118,26,26.6221,"W",-118.44072836,"T",139.3,"22X"
"2026/02/19","01818.","A","CA","LAX","LOS ANGELES","US","25L","LAX","LD","OPERATIONAL IFR","1901/01/01",33,56,3.1899,"N",33.93421941,118,25,20.7882,"W",-118.42244116,"FS",126,"36X"
"2026/02/19","01818.","A","CA","LAX","LOS ANGELES","US","25R","CFN","LD","OPERATIONAL IFR","1901/01/01",33,56,4.8698,"N",33.93468605,118,25,24.8206,"W",-118.42356127,"T",104.3,"48X"
"2026/02/19","01886.","A","CA","MCE","MERCED","US","30","MCE","LD","OPERATIONAL IFR","1901/01/01",37,17,34.62,"N",37.29295,120,31,18.25,"W",-120.52173611,"F",169.8,"30X"
"2026/02/19","01914.","A","CA","MRY","MONTEREY","US","10R","MRY","LD","OPERATIONAL IFR","1901/01/01",36,35,1.3,"N",36.58369444,121,49,56.16,"W",-121.83226666,"T",267,"44X"
"2026/02/19","01914.","A","CA","MRY","MONTEREY","US","28L","MTB","LE","OPERATIONAL IFR","2019/12/20",36,35,1.3,"N",36.58369444,121,49,56.16,"W",-121.83226666,"F",267,"44X"
"2026/02/19","01927.","A","CA","NUQ","MOUNTAIN VIEW","US","14L","MNQ","LE","OPERATIONAL IFR","2019/04/24",37,24,11.2331,"N",37.4031203,122,2,25.3789,"W",-122.04038302,"T",49.3,"40Y"
"2026/02/19","01927.","A","CA","NUQ","MOUNTAIN VIEW","US","32R","NUQ","LD","OPERATIONAL IFR","2019/04/25",37,24,11.2331,"N",37.4031203,122,2,25.3789,"W",-122.04038302,"T",49.3,"40Y"
"2026/02/19","01933.","A","CA","APC","NAPA","US","01L","APC","LD","OPERATIONAL IFR","2012/04/24",38,13,27.8531,"N",38.22440363,122,16,35.0769,"W",-122.27641025,"T",34.9,"50X"
"2026/02/19","01971.","A","CA","OAK","OAKLAND","US","30","INB","LD","OPERATIONAL IFR","2012/09/04",37,43,33.0786,"N",37.72585516,122,14,59.0097,"W",-122.24972491,"T",22.7,"24X"
"2026/02/19","01986.","A","CA","ONT","ONTARIO","US","26L","TWO","LD","OPERATIONAL IFR","1988/03/25",34,3,20.4777,"N",34.05568825,117,37,8.8646,"W",-117.61912905,"T",947.7,"50Y"
"2026/02/19","01986.","A","CA","ONT","ONTARIO","US","26R","ONT","LD","OPERATIONAL IFR","1988/03/25",34,3,22.0428,"N",34.056123,117,37,33.7049,"W",-117.62602913,"T",955,"34X"
"2026/02/19","02057.","A","CA","NTD","OXNARD","US","03","NTD","LD","OPERATIONAL IFR","2025/05/15",34,6,34.6348,"N",34.10962077,119,7,54.412,"W",-119.13178111,"N",6.4,"30X"
"2026/02/19","02057.","A","CA","NTD","OXNARD","US","21","RRG","LD","OPERATIONAL RESTRICTED","2025/09/05",34,7,41.3835,"N",34.12816208,119,6,37.3996,"W",-119.11038877,"N",9.3,"30X"
"2026/02/19","02089.","A","CA","RDD","REDDING","US","34","RDD","LD","OPERATIONAL IFR","2009/08/27",40,31,23.0667,"N",40.52307408,122,17,45.5628,"W",-122.29598966,"T",522.1,"24X"
"2026/02/19","02124.2","A","CA","SMF","SACRAMENTO","US","17L","MDK","LD","OPERATIONAL IFR","1995/09/14",38,40,50.2189,"N",38.68061636,121,34,46.3009,"W",-121.57952802,"T",30.9,"54Y"
"2026/02/19","02124.2","A","CA","SMF","SACRAMENTO","US","17R","SMF","LD","OPERATIONAL IFR","1984/08/30",38,40,34.7038,"N",38.67630661,121,36,3.046,"W",-121.60084611,"T",34,"48X"
"2026/02/19","02124.2","A","CA","SMF","SACRAMENTO","US","35L","HUX","LD","OPERATIONAL IFR","2006/10/11",38,40,34.7038,"N",38.67630661,121,36,3.046,"W",-121.60084611,"T",34,"48X"
"2026/02/19","02126.","A","CA","MHR","SACRAMENTO","US","22L","MHR","LD","OPERATIONAL IFR","2010/09/23",38,32,30.0661,"N",38.54168502,121,19,2.1134,"W",-121.31725372,"F",86.1,"50Y"
"2026/02/19","02165.","A","CA","SEE","SAN DIEGO/EL CAJON","US","27R","SEE","LE","OPERATIONAL RESTRICTED","2018/02/13",32,49,49.8,"N",32.8305,116,58,59.76,"W",-116.98326666,"FS",351,"42X"
"2026/02/19","02166.","A","CA","MYF","SAN DIEGO","US","28R","MYF","LD","OPERATIONAL IFR","1901/01/01",32,49,10.9118,"N",32.81969772,117,8,47.3361,"W",-117.14648225,"T",427.9,"56Y"
"2026/02/19","02170.","A","CA","SAN","SAN DIEGO","US","09","SAN","LD","OPERATIONAL IFR","1983/09/29",32,43,46.8256,"N",32.72967377,117,10,28.5519,"W",-117.17459775,"T",34,"52Y"
"2026/02/19","02170.","A","CA","SAN","SAN DIEGO","US","27","UBR","LE","OPERATIONAL IFR","1983/10/27",32,44,11.4186,"N",32.73650516,117,12,19.9319,"W",-117.20553663,"T",25.9,"46X"
"2026/02/19","02177.","A","CA","NKX","SAN DIEGO","US","24R","NKX","LD","OPERATIONAL IFR","2021/08/09",32,52,16.19,"N",32.87116388,117,7,49.09,"W",-117.13030277,"N",468.8,"48Y"
"2026/02/19","02187.","A","CA","SFO","SAN FRANCISCO","US","19L","SIA","LD","OPERATIONAL IFR","1901/01/01",37,36,18.7188,"N",37.60519966,122,22,59.4082,"W",-122.38316894,"T",20.6,"26X"
"2026/02/19","02187.","A","CA","SFO","SAN FRANCISCO","US","28L","SFO","LD","OPERATIONAL IFR","1991/07/25",37,37,39.5363,"N",37.62764897,122,23,41.4575,"W",-122.3948493,"T",20.3,"32Y"
"2026/02/19","02187.","A","CA","SFO","SAN FRANCISCO","US","28R","GWQ","LD","OPERATIONAL IFR","1984/11/24",37,37,48.1978,"N",37.63005494,122,23,40.6085,"W",-122.39461347,"T",17.7,"54X"
"2026/02/19","02204.","A","CA","SJC","SAN JOSE","US","12R","SLV","LD","OPERATIONAL IFR","2004/08/24",37,21,2.6639,"N",37.35073997,121,55,1.3459,"W",-121.91704052,"T",81.4,"46X"
"2026/02/19","02204.","A","CA","SJC","SAN JOSE","US","30L","SJC","LD","OPERATIONAL IFR","2004/08/24",37,22,27.575,"N",37.37432638,121,56,32.6145,"W",-121.94239291,"Z",56,"46X"
"2026/02/19","02230.","A","CA","SNA","SANTA ANA","US","20R","SNA","LD","OPERATIONAL IFR","1901/01/01",33,39,52.3535,"N",33.66454263,117,52,30.0604,"W",-117.87501677,"T",66.9,"54Y"
"2026/02/19","02230.","A","CA","SNA","SANTA ANA","US","20X","OJW","DD","OPERATIONAL IFR","1988/12/15",33,40,55.3382,"N",33.68203838,117,51,44.8459,"W",-117.86245719,"T",53.9,"20X"
"2026/02/19","02235.","A","CA","SBA","SANTA BARBARA","US","07","SBA","LD","OPERATIONAL IFR","1901/01/01",34,25,38.2825,"N",34.42730069,119,49,48.982,"W",-119.83027277,"T",28.4,"40X"
"2026/02/19","02251.","A","CA","SMX","SANTA MARIA","US","12","SMX","LD","OPERATIONAL RESTRICTED","2018/02/13",34,53,24.6097,"N",34.89016936,120,26,38.1618,"W",-120.44393383,"T",283.8,"26X"
"2026/02/19","02303.7","A","CA","TVL","SOUTH LAKE TAHOE","US","18","TVL","DD","OPERATIONAL IFR","1983/08/18",38,54,36.1611,"N",38.91004475,119,59,19.6936,"W",-119.98880377,"T",6322.6,"26X"
"2026/02/19","02314.","A","CA","SCK","STOCKTON","US","29R","SCK","LD","OPERATIONAL IFR","2017/03/02",37,54,12.6733,"N",37.90352036,121,15,15.2001,"W",-121.25422225,"T",38.3,"28X"
"2026/02/19","02356.1","A","CA","TOA","TORRANCE","US","29R","TOA","LD","OPERATIONAL IFR","1981/12/07",33,48,30.5477,"N",33.80848547,118,20,50.789,"W",-118.34744138,"K",94.4,"56X"
"2026/02/19","02383.","A","CA","UKI","UKIAH","US","15","UKI","LE","OPERATIONAL RESTRICTED","2018/10/22",39,7,9.0079,"N",39.11916886,123,11,52.8281,"W",-123.1980078,"T",610.7,"28X"
"2026/02/19","02413.","A","CA","VIS","VISALIA","US","30","VIS","LD","OPERATIONAL IFR","2022/03/24",36,19,34.1801,"N",36.32616113,119,24,2.7632,"W",-119.40076755,"T",295,"22X"
"2026/02/19","02517.","A","CO","ASE","ASPEN","US","15","ASE","LE","OPERATIONAL RESTRICTED","2018/01/29",39,12,35.0599,"N",39.20973886,106,51,43.5723,"W",-106.86210341,"T",7857.3,"48Y"
"2026/02/19","02531.01","A","CO","ITR","BURLINGTON","US","33","OBG","LE","OPERATIONAL IFR","1997/01/30",39,15,7.5744,"N",39.252104,102,17,20.0363,"W",-102.28889897,"T",4226.6,"56X"
"2026/02/19","02543.","A","CO","COS","COLORADO SPRINGS","US","17L","LPI","LD","OPERATIONAL IFR","1994/12/08",38,46,33.6712,"N",38.77601977,104,41,13.771,"W",-104.68715861,"T",6087.1,"28X"
"2026/02/19","02543.","A","CO","COS","COLORADO SPRINGS","US","35R","AHI","LD","OPERATIONAL IFR","2007/07/05",38,46,33.6712,"N",38.77601977,104,41,13.771,"W",-104.68715861,"T",6087.1,"28X"
"2026/02/19","02572.","A","CO","APA","DENVER","US","35R","APA","LD","OPERATIONAL RESTRICTED","2023/06/27",39,35,13.0979,"N",39.58697163,104,51,1.9739,"W",-104.8505483,"T",5777.8,"50X"
"2026/02/19","02573.","A","CO","DEN","DENVER","US","07","DZG","LD","OPERATIONAL IFR","1993/11/11",39,50,23.6632,"N",39.83990644,104,40,48.6232,"W",-104.68017311,"Z",5359.1,"52Y"
"2026/02/19","02573.","A","CO","DEN","DENVER","US","08","FUI","LD","OPERATIONAL IFR","2002/07/17",39,52,41.8784,"N",39.87829955,104,39,57.5078,"W",-104.66597438,"Z",5360.2,"26X"
"2026/02/19","02573.","A","CO","DEN","DENVER","US","16L","LTT","LD","OPERATIONAL IFR","1993/11/11",39,53,59.6091,"N",39.89989141,104,41,15.7719,"W",-104.68771441,"Z",5357,"48X"
"2026/02/19","02573.","A","CO","DEN","DENVER","US","16R","DQQ","LD","OPERATIONAL IFR","2003/07/31",39,53,55.7414,"N",39.89881705,104,41,50.8967,"W",-104.6974713,"T",5323.5,"56X"
"2026/02/19","02573.","A","CO","DEN","DENVER","US","17L","BXP","LD","OPERATIONAL IFR","1993/11/11",39,52,4.266,"N",39.86785166,104,38,25.1893,"W",-104.64033036,"Z",5345.1,"38Y"
"2026/02/19","02573.","A","CO","DEN","DENVER","US","17R","ACX","LD","OPERATIONAL IFR","2002/07/17",39,51,50.9244,"N",39.86414566,104,39,33.0513,"W",-104.65918091,"Z",5388,"22X"
"2026/02/19","02573.","A","CO","DEN","DENVER","US","25","ERP","LD","OPERATIONAL IFR","2002/07/17",39,50,23.6632,"N",39.83990644,104,40,48.6232,"W",-104.68017311,"Z",5359.1,"52Y"
"2026/02/19","02573.","A","CO","DEN","DENVER","US","26","JOY","LD","OPERATIONAL IFR","1993/11/11",39,52,41.8784,"N",39.87829955,104,39,57.5078,"W",-104.66597438,"Z",5360.2,"26X"
"2026/02/19","02573.","A","CO","DEN","DENVER","US","34L","DXU","LD","OPERATIONAL IFR","2003/07/31",39,53,55.7414,"N",39.89881705,104,41,50.8967,"W",-104.6974713,"Z",5323.5,"56X"
"2026/02/19","02573.","A","CO","DEN","DENVER","US","34R","OUF","LD","OPERATIONAL IFR","1993/11/11",39,53,59.6091,"N",39.89989141,104,41,15.7719,"W",-104.68771441,"Z",5357,"48X"
"2026/02/19","02573.","A","CO","DEN","DENVER","US","35L","AQD","LD","OPERATIONAL IFR","1993/11/11",39,51,50.9244,"N",39.86414566,104,39,33.0513,"W",-104.65918091,"Z",5388,"22X"
"2026/02/19","02573.","A","CO","DEN","DENVER","US","35R","DPP","LD","OPERATIONAL IFR","1993/11/11",39,52,4.266,"N",39.86785166,104,38,25.1893,"W",-104.64033036,"Z",5345.1,"38Y"
